Ammonia MQ135,Co2,Alcohol,Methane,Hydrogen Sulfide,LPG,Hydrogen,Ammonia MQ137,label,Time,TVC
1.32,605.18,45.99,63.67,0.42,1.04,55.25,0.28,1,0.000277778,3.57
0.85,605.18,46.08,63.87,0.42,0.94,53.36,0.26,1,0.000555556,3.57
0.87,605.18,46.08,64.66,0.42,0.95,53.08,0.26,1,0.000833333,3.57
0.91,605.18,45.81,59.28,0.41,0.95,53.1,0.25,1,0.001111111,3.57
0.92,605.18,45.9,63.48,0.41,0.96,53.19,0.26,1,0.001388889,3.57
0.93,605.18,45.9,63.28,0.42,0.97,53.43,0.26,1,0.001666667,3.57
0.97,605.18,45.9,63.28,0.41,0.97,53.51,0.26,1,0.001944444,3.57
0.97,605.18,45.9,63.48,0.41,0.97,53.62,0.26,1,0.002222222,3.57
0.98,605.18,45.72,62.89,0.41,0.98,53.73,0.26,1,0.0025,3.57
0.99,605.18,45.9,63.09,0.41,0.97,53.75,0.26,1,0.002777778,3.57
1,605.18,45.18,63.28,0.41,0.98,53.69,0.25,1,0.003055556,3.57
1.02,605.18,53.43,63.09,0.41,0.98,53.77,0.26,1,0.003333333,3.57
1.01,605.18,44.11,64.26,0.41,0.98,53.75,0.26,1,0.003611111,3.57
0.98,605.18,45.9,63.09,0.41,0.97,53.93,0.26,1,0.003888889,3.57
1.03,605.18,48.03,63.09,0.41,0.98,53.97,0.26,1,0.004166667,3.57
0.99,605.18,45.72,63.09,0.41,0.94,54.01,0.26,1,0.004444444,3.57
0.98,605.18,44.46,62.7,0.4,0.93,55.08,0.23,1,0.004722222,3.57
0.96,605.18,46.81,62.31,0.4,0.95,55.46,0.24,1,0.005,3.57
0.93,605.18,44.55,61.93,0.39,0.92,52.26,0.26,1,0.005277778,3.57
0.99,605.18,44.46,60.78,0.4,0.93,65.56,0.22,1,0.005555556,3.57
0.97,605.18,44.28,61.54,0.4,0.92,63.24,0.23,1,0.005833333,3.57
0.97,605.18,44.37,61.54,0.39,0.91,61.23,0.25,1,0.006111111,3.57
1.04,605.18,44.2,61.54,0.39,0.86,60.4,0.25,1,0.006388889,3.57
0.96,605.18,43.93,60.4,0.39,0.88,64.29,0.25,1,0.006666667,3.57
0.92,605.18,44.02,61.35,0.39,0.87,54.18,0.26,1,0.006944444,3.57
1,605.18,44.11,61.93,0.39,0.89,51.7,0.25,1,0.007222222,3.57
1.11,605.18,44.28,61.54,0.4,0.9,51.9,0.26,1,0.0075,3.57
1.06,605.18,45.18,61.93,0.4,0.89,52.24,0.21,1,0.007777778,3.57
1,605.18,39.22,61.54,0.4,0.89,51.88,0.25,1,0.008055556,3.57
1.02,605.18,44.37,61.93,0.4,0.89,52.24,0.27,1,0.008333333,3.57
1.01,605.18,42.97,62.31,0.4,0.89,52.44,0.25,1,0.008611111,3.57
1,605.18,44.46,61.73,0.4,0.89,52.75,0.25,1,0.008888889,3.57
0.89,605.18,44.37,61.93,0.4,0.89,52.81,0.26,1,0.009166667,3.57
0.99,605.18,40.36,61.93,0.4,0.87,52.97,0.26,1,0.009444444,3.57
0.98,605.18,44.02,61.73,0.4,0.9,53.12,0.25,1,0.009722222,3.57
0.99,605.18,44.46,61.93,0.4,0.91,53.38,0.26,1,0.01,3.57
0.99,605.18,44.11,61.54,0.4,0.92,53.42,0.26,1,0.010277778,3.57
0.99,605.18,44.28,61.54,0.4,0.92,53.47,0.25,1,0.010555556,3.57
0.99,605.18,44.28,61.73,0.4,0.92,53.75,0.27,1,0.010833333,3.57
1,605.18,44.11,61.93,0.41,0.81,53.93,0.25,1,0.011111111,3.57
1,605.18,44.02,61.16,0.41,0.72,53.95,0.25,1,0.011388889,3.57
1.01,605.18,44.11,61.54,0.41,0.72,54.14,0.26,1,0.011666667,3.57
1.01,605.18,44.11,61.93,0.41,0.74,54.1,0.27,1,0.011944444,3.57
1.01,605.18,44.28,61.54,0.41,0.74,54.06,0.26,1,0.012222222,3.57
1.02,605.18,44.11,61.93,0.41,0.85,54.18,0.26,1,0.0125,3.57
0.83,605.18,44.28,60.4,0.41,0.94,54.23,0.26,1,0.012777778,3.57
1.02,605.18,44.28,61.93,0.41,0.99,54.2,0.26,1,0.013055556,3.57
1.02,605.18,44.37,62.31,0.41,1.03,54.59,0.26,1,0.013333333,3.57
1.03,605.18,43.23,62.31,0.41,1.08,54.12,0.26,1,0.013611111,3.57
1.03,605.18,44.11,62.5,0.41,1.07,55,0.25,1,0.013888889,3.57
1,605.18,44.2,61.35,0.41,1,55.02,0.24,1,0.014166667,3.57
1,605.18,44.2,61.93,0.41,0.83,54.72,0.25,1,0.014444444,3.57
0.97,605.18,44.28,61.93,0.42,0.81,54.66,0.25,1,0.014722222,3.57
1.03,605.18,44.28,61.54,0.42,0.79,54.57,0.26,1,0.015,3.57
1.03,605.18,44.2,61.54,0.42,0.8,54.49,0.24,1,0.015277778,3.57
1.03,605.18,44.46,62.31,0.42,0.79,54.46,0.25,1,0.015555556,3.57
1.03,605.18,44.2,62.12,0.42,0.78,54.59,0.25,1,0.015833333,3.57
0.91,605.18,44.2,61.93,0.42,0.76,54.46,0.25,1,0.016111111,3.57
1.04,605.18,44.28,62.5,0.42,0.77,54.49,0.25,1,0.016388889,3.57
1.04,605.18,44.28,61.73,0.43,0.74,54.59,0.25,1,0.016666667,3.57
1.03,605.18,44.2,62.31,0.42,0.75,54.61,0.25,1,0.016944444,3.57
1.04,605.18,44.28,63.87,0.44,0.75,54.59,0.24,1,0.017222222,3.57
1.05,605.18,44.46,65.25,0.42,0.74,54.49,0.26,1,0.0175,3.57
1.04,605.18,44.37,61.93,0.42,0.72,54.61,0.25,1,0.017777778,3.57
1.04,605.18,44.11,61.73,0.43,0.71,54.63,0.23,1,0.018055556,3.57
1.04,605.18,44.28,62.12,0.43,0.71,54.51,0.24,1,0.018333333,3.57
1.05,605.18,44.2,61.93,0.43,0.73,54.63,0.24,1,0.018611111,3.57
1.04,605.18,44.64,61.93,0.43,0.72,54.44,0.24,1,0.018888889,3.57
1.08,605.18,44.46,63.09,0.43,0.72,54.48,0.25,1,0.019166667,3.57
1.05,605.18,44.28,62.12,0.43,0.74,54.72,0.25,1,0.019444444,3.57
1.04,605.18,44.28,61.93,0.44,0.72,54.63,0.24,1,0.019722222,3.57
1.05,605.18,44.46,62.12,0.43,0.72,54.68,0.26,1,0.02,3.57
1.08,605.18,46.72,62.12,0.43,0.73,54.66,0.24,1,0.020277778,3.57
1.11,605.18,44.37,62.31,0.43,0.72,54.65,0.23,1,0.020555556,3.57
1.06,605.18,44.46,62.31,0.43,0.73,54.65,0.25,1,0.020833333,3.57
1.08,605.18,45.18,60.78,0.43,0.72,54.72,0.25,1,0.021111111,3.57
1.09,605.18,46.08,67.07,0.44,0.72,54.68,0.27,1,0.021388889,3.57
1.09,605.18,44.55,62.31,0.44,0.71,54.72,0.25,1,0.021666667,3.57
1.09,605.18,44.64,63.09,0.44,0.71,54.68,0.25,1,0.021944444,3.57
1.09,605.18,44.46,62.31,0.44,0.71,54.7,0.26,1,0.022222222,3.57
1.09,605.18,44.46,61.54,0.44,0.71,54.72,0.24,1,0.0225,3.57
1.09,605.18,44.73,62.7,0.44,0.71,54.83,0.26,1,0.022777778,3.57
1.08,605.18,44.28,62.7,0.44,0.75,54.42,0.25,1,0.023055556,3.57
1.11,605.18,44.46,62.31,0.45,0.71,54.66,0.24,1,0.023333333,3.57
1.1,605.18,44.37,62.7,0.44,0.71,54.66,0.24,1,0.023611111,3.57
1.11,605.18,44.28,61.93,0.45,0.7,54.78,0.25,1,0.023888889,3.57
1.11,605.18,42.37,62.5,0.44,0.7,54.78,0.26,1,0.024166667,3.57
1.1,605.18,45.18,62.31,0.44,0.68,54.78,0.25,1,0.024444444,3.57
1.09,605.18,44.55,62.7,0.45,0.69,54.76,0.24,1,0.024722222,3.57
1.12,605.18,44.46,61.93,0.45,0.69,54.76,0.26,1,0.025,3.57
1.16,605.18,44.82,60.4,0.45,0.69,54.8,0.25,1,0.025277778,3.57
1.12,605.18,44.46,62.31,0.45,0.68,54.8,0.25,1,0.025555556,3.57
1.12,605.18,44.73,62.31,0.45,0.68,54.81,0.26,1,0.025833333,3.57
1.13,605.18,44.64,61.93,0.45,0.67,54.81,0.25,1,0.026111111,3.57
1.12,605.18,45,62.5,0.45,0.68,54.8,0.25,1,0.026388889,3.57
1.16,605.18,44.64,62.31,0.45,0.67,55.1,0.27,1,0.026666667,3.57
1.14,605.18,44.46,62.31,0.45,0.68,54.87,0.26,1,0.026944444,3.57
0.99,605.18,44.46,62.31,0.45,0.69,54.89,0.25,1,0.027222222,3.57
1.32,605.18,42.89,62.7,0.45,0.69,54.97,0.26,1,0.0275,3.57
1.12,605.18,46.26,62.31,0.45,0.68,54.87,0.25,1,0.027777778,3.57
1.13,605.18,45.54,62.5,0.45,0.69,54.95,0.24,1,0.028055556,3.57
1.09,605.18,44.46,62.7,0.45,0.69,54.93,0.26,1,0.028333333,3.57
1.13,605.18,44.11,62.5,0.45,0.69,54.91,0.25,1,0.028611111,3.57
1.15,605.18,44.64,62.89,0.45,0.69,54.95,0.26,1,0.028888889,3.57
1.16,605.18,44.64,62.31,0.45,0.69,55,0.26,1,0.029166667,3.57
1.14,605.18,44.46,63.09,0.45,0.69,55,0.26,1,0.029444444,3.57
1.15,605.18,44.46,63.09,0.46,0.67,54.91,0.26,1,0.029722222,3.57
1.15,605.18,44.82,62.7,0.45,0.69,54.98,0.26,1,0.03,3.57
1.15,605.18,44.82,62.31,0.45,0.68,55,0.25,1,0.030277778,3.57
1.16,605.18,45.18,61.16,0.45,0.68,55,0.25,1,0.030555556,3.57
1.15,605.18,44.73,61.93,0.46,0.68,54.89,0.25,1,0.030833333,3.57
1.15,605.18,47.93,63.09,0.45,0.69,55.14,0.26,1,0.031111111,3.57
1.19,605.18,44.91,62.7,0.46,0.67,54.98,0.26,1,0.031388889,3.57
1.17,605.18,44.82,63.67,0.46,0.67,55.1,0.25,1,0.031666667,3.57
1.17,605.18,44.73,63.09,0.45,0.65,54.91,0.26,1,0.031944444,3.57
1.16,605.18,44.64,62.7,0.46,0.66,55.14,0.26,1,0.032222222,3.57
1.18,605.18,45.18,63.09,0.46,0.66,54.98,0.25,1,0.0325,3.57
1.17,605.18,44.82,61.35,0.46,0.65,55.12,0.26,1,0.032777778,3.57
1.17,605.18,44.64,63.09,0.46,0.66,55.15,0.25,1,0.033055556,3.57
1.2,605.18,44.73,62.89,0.46,0.66,54.93,0.27,1,0.033333333,3.57
1.17,605.18,46.26,62.89,0.46,0.65,55.15,0.24,1,0.033611111,3.57
1.18,605.18,44.64,62.7,0.46,0.65,55.23,0.25,1,0.033888889,3.57
1.2,605.18,45,63.87,0.47,0.64,55.17,0.24,1,0.034166667,3.57
1.18,605.18,45.18,62.7,0.46,0.64,55.25,0.22,1,0.034444444,3.57
1.19,605.18,44.82,63.28,0.46,0.65,55.17,0.24,1,0.034722222,3.57
1,605.18,44.82,62.7,0.47,0.65,55.21,0.25,1,0.035,3.57
1.19,605.18,45.18,62.89,0.47,0.66,55.92,0.25,1,0.035277778,3.57
1.19,605.18,45.54,62.7,0.47,0.64,55.21,0.25,1,0.035555556,3.57
1.19,605.18,44.82,63.28,0.48,0.67,55.48,0.26,1,0.035833333,3.57
1.2,605.18,43.58,62.5,0.46,0.66,55.23,0.25,1,0.036111111,3.57
1.2,605.18,44.73,63.09,0.47,0.68,55.23,0.25,1,0.036388889,3.57
1.19,605.18,45.36,63.09,0.48,0.79,55.23,0.26,1,0.036666667,3.57
1.2,605.18,44.82,63.09,0.47,0.76,55.29,0.26,1,0.036944444,3.57
1.23,605.18,44.73,63.48,0.47,0.87,55.21,0.25,1,0.037222222,3.57
1.19,605.18,44.73,63.09,0.45,0.78,55.27,0.25,1,0.0375,3.57
1.2,605.18,44.64,62.89,0.47,0.78,55.33,0.26,1,0.037777778,3.57
1.2,605.18,44.64,63.09,0.47,0.77,55.1,0.22,1,0.038055556,3.57
1.21,605.18,45,63.09,0.47,0.77,55.21,0.25,1,0.038333333,3.57
1.21,605.18,44.73,62.7,0.47,0.8,55.21,0.25,1,0.038611111,3.57
1.21,605.18,45.09,63.09,0.47,0.76,55.19,0.18,1,0.038888889,3.57
1.23,605.18,44.82,63.28,0.48,0.75,55.29,0.22,1,0.039166667,3.57
1.23,605.18,45.18,62.31,0.48,0.77,55.29,0.26,1,0.039444444,3.57
1.21,605.18,44.82,63.09,0.48,0.76,55.29,0.26,1,0.039722222,3.57
1.23,605.18,45,63.28,0.48,0.76,55.23,0.26,1,0.04,3.57
1.23,605.18,44.64,69.75,0.47,0.76,55.29,0.26,1,0.040277778,3.57
1.23,605.18,45,63.48,0.48,0.76,55.29,0.25,1,0.040555556,3.57
1.23,605.18,44.73,61.93,0.48,0.74,55.29,0.26,1,0.040833333,3.57
1.23,605.18,44.82,63.09,0.48,0.74,55.29,0.26,1,0.041111111,3.57
1.29,605.18,44.82,63.09,0.48,0.74,55.53,0.29,1,0.041388889,3.57
1.25,605.18,44.82,63.48,0.48,0.74,55.33,0.26,1,0.041666667,3.57
